session_id;PROLIFIC_PID;status;started_datetime;completed_date_time;time_taken;age;num_approvals;num_rejections;prolific_score;reviewed_at_datetime;entered_code;Country of Birth;Current Country of Residence;Employment Status;First Language;Fluent languages;Nationality;Sex;Student Status
60ace0c5dd251e9cf3ea809c;5d15c3c6a69a620018adaeaa;APPROVED;2021-05-25 11:34:34.202000;2021-05-25 11:50:44.864000;970.662;30;454;6;98;2021-05-28 10:44:01.415000;51867BAD;United Kingdom;United Kingdom;Full-Time;English;English;United Kingdom;Female;No
60ace8bb1a0222116f972c63;5d1d30b2cc65b3000162d993;APPROVED;2021-05-25 12:08:47.518000;2021-05-25 12:27:05.894000;1.098.376;24;133;0;100;2021-05-28 10:44:07.159000;51867BAD;United Kingdom;United Kingdom;Unemployed (and job seeking);English;English;United Kingdom;Male;No
60ace0c999ad84dd3bc0d55b;5d1e501e755c59001709a785;APPROVED;2021-05-25 11:34:33.613000;2021-05-25 11:49:49.457000;915.844;30;174;4;98;2021-05-28 10:44:12.814000;51867BAD;Portugal;Portugal;Part-Time;Portuguese;English, Portuguese;Portugal;Male;No
60acea742fae7b7b41573d96;5d20c6d5b1e50a001c19e622;APPROVED;2021-05-25 12:16:14.174000;2021-05-25 12:36:24.149000;1.209.975;57;452;1;100;2021-05-28 10:44:17.861000;51867BAD;United Kingdom;United Kingdom;Part-Time;English;English;United Kingdom;Female;No
60acadcda631a8cd5739a16c;5d30eb1a18d10b001813369e;APPROVED;2021-05-25 07:57:04.078000;2021-05-25 08:14:01.113000;1.017.035;24;113;2;99;2021-05-28 10:44:22.894000;51867BAD;Belgium;Belgium;Part-Time;French;French, English, German;Belgium;Female;Yes
60acc8fad377204236f8c54d;5d380e7c0322fd0018f3f9cd;APPROVED;2021-05-25 09:53:07.506000;2021-05-25 10:19:40.265000;1.592.759;28;23;0;100;2021-05-28 10:44:32.647000;51867BAD;United Kingdom;United Kingdom;Full-Time;;English;United Kingdom;Female;No
60ace8ae1a1677f1fcc19f0f;5d38c3f6778895001a3f414d;APPROVED;2021-05-25 12:08:17.955000;2021-05-25 12:48:29.519000;2.411.564;35;147;1;99;2021-05-28 10:44:39.330000;51867BAD;Romania;United Kingdom;Full-Time;Romanian;English, Romanian;Romania;Female;No
60acd679ec9c887b919829dd;5d488bfffef71c001ad8c079;APPROVED;2021-05-25 10:50:37.024000;2021-05-25 11:15:20.696000;1.483.672;30;122;0;100;2021-05-28 10:44:49.989000;51867BAD;United Kingdom;United Kingdom;Full-Time;English;English;United Kingdom;Male;No
60ace8c83063513eb5024c46;5d6ad36076cca6001a66d89e;APPROVED;2021-05-25 12:09:04.859000;2021-05-25 12:31:39.821000;1.354.962;47;596;1;100;2021-05-28 10:44:57.128000;51867BAD;United Kingdom;United Kingdom;Full-Time;English;English;United Kingdom;Male;No
60acd6d172005f551d686be8;5d753206869c8f0001b358dd;APPROVED;2021-05-25 10:52:04.272000;2021-05-25 11:11:29.743000;1.165.471;37;78;0;100;2021-05-28 10:45:04.847000;51867BAD;United Kingdom;United Kingdom;Part-Time;English;English;United Kingdom;Female;No
60ace8b57b14b50b2cf78595;5d87a74208667b0001eff922;APPROVED;2021-05-25 12:08:43.165000;2021-05-25 12:31:51.499000;1.388.334;51;635;4;100;2021-05-28 10:45:12.078000;51867BAD;United Kingdom;United Kingdom;Full-Time;English;English;United Kingdom;Male;No
60ace0f53ba7b0efe947d785;5d8c9182bc22d700191aef2b;APPROVED;2021-05-25 11:35:39.097000;2021-05-25 11:59:05.968000;1.406.871;38;246;1;100;2021-05-28 10:45:22.932000;51867BAD;Greece;Greece;Full-Time;Greek;Greek, English, Italian;Greece;Male;No
60ace0e87dcf3ef95c76d6d9;5d9ce7004c63af0016e58b8e;APPROVED;2021-05-25 11:35:07.449000;2021-05-25 11:55:00.438000;1.192.989;30;133;3;99;2021-05-28 10:45:39.960000;51867BAD;United Kingdom;United Kingdom;Not in paid work (e.g. homemaker', 'retired or disabled);English;English;United Kingdom;Female;No
