workerId,prolific_id,group,cond,valence,exprating,valrating,arrating,block,trial_order,trial_cond,s1_color,Cong,IUS_tot,IUS_prospective,IUS_inhibitory,age,sex
14560,60eee976c85c395201e05d6c,CG,val_arr,neg,100,0,87,2,46,26,red,0,42,25,17,23,Female
14560,60eee976c85c395201e05d6c,CG,val_arr,neu,100,50,50,2,47,27,blue,0,42,25,17,23,Female
14560,60eee976c85c395201e05d6c,CG,exp,neg,100,50,50,2,48,21,red,0,42,25,17,23,Female
14560,60eee976c85c395201e05d6c,CG,exp,neu,100,50,50,2,49,22,red,1,42,25,17,23,Female
14560,60eee976c85c395201e05d6c,CG,val_arr,neu,100,50,64,2,50,28,red,1,42,25,17,23,Female
14560,60eee976c85c395201e05d6c,CG,exp,neu,25,50,64,2,51,23,blue,0,42,25,17,23,Female
14560,60eee976c85c395201e05d6c,CG,exp,neu,100,50,64,2,52,24,red,1,42,25,17,23,Female
14560,60eee976c85c395201e05d6c,CG,val_arr,neg,100,0,83,2,53,29,red,0,42,25,17,23,Female
14560,60eee976c85c395201e05d6c,CG,val_arr,neg,100,50,70,2,54,30,red,0,42,25,17,23,Female
14560,60eee976c85c395201e05d6c,CG,exp,neu,25,50,70,2,55,25,blue,0,42,25,17,23,Female
14560,60eee976c85c395201e05d6c,CG,exp,neu,27,50,70,2,56,26,blue,0,42,25,17,23,Female
14560,60eee976c85c395201e05d6c,CG,val_arr,neu,27,50,50,2,57,31,blue,0,42,25,17,23,Female
14560,60eee976c85c395201e05d6c,CG,val_arr,neg,27,20,81,2,58,32,red,0,42,25,17,23,Female
14560,60eee976c85c395201e05d6c,CG,exp,neg,95,20,81,2,59,27,red,0,42,25,17,23,Female
14560,60eee976c85c395201e05d6c,CG,val_arr,neu,95,33,63,2,60,33,blue,0,42,25,17,23,Female
14560,60eee976c85c395201e05d6c,CG,exp,neg,27,33,63,2,61,28,blue,1,42,25,17,23,Female
14560,60eee976c85c395201e05d6c,CG,exp,neg,96,33,63,2,62,29,red,0,42,25,17,23,Female
14560,60eee976c85c395201e05d6c,CG,exp,neu,33,33,63,2,63,30,blue,0,42,25,17,23,Female
14560,60eee976c85c395201e05d6c,CG,exp,neu,36,33,63,2,64,31,blue,0,42,25,17,23,Female
14560,60eee976c85c395201e05d6c,CG,exp,neu,50,33,63,2,65,32,blue,0,42,25,17,23,Female
14560,60eee976c85c395201e05d6c,CG,val_arr,neg,50,31,50,2,66,34,red,0,42,25,17,23,Female
14560,60eee976c85c395201e05d6c,CG,exp,neg,97,31,50,2,67,33,red,0,42,25,17,23,Female
14560,60eee976c85c395201e05d6c,CG,exp,neg,40,31,50,2,68,34,blue,1,42,25,17,23,Female
14560,60eee976c85c395201e05d6c,CG,val_arr,neu,40,71,32,2,69,35,blue,0,42,25,17,23,Female
14560,60eee976c85c395201e05d6c,CG,exp,neu,97,71,32,2,70,35,red,1,42,25,17,23,Female
14560,60eee976c85c395201e05d6c,CG,val_arr,neg,97,22,70,2,71,36,red,0,42,25,17,23,Female
14560,60eee976c85c395201e05d6c,CG,val_arr,neg,97,33,69,2,72,37,red,0,42,25,17,23,Female
14560,60eee976c85c395201e05d6c,CG,exp,neu,99,33,69,2,73,36,red,1,42,25,17,23,Female
14560,60eee976c85c395201e05d6c,CG,exp,neu,25,33,69,2,74,37,blue,0,42,25,17,23,Female
14560,60eee976c85c395201e05d6c,CG,exp,neg,98,33,69,2,75,38,red,0,42,25,17,23,Female
14560,60eee976c85c395201e05d6c,CG,val_arr,neu,98,74,79,2,76,38,blue,0,42,25,17,23,Female
14560,60eee976c85c395201e05d6c,CG,val_arr,neg,98,0,79,2,77,39,red,0,42,25,17,23,Female
14560,60eee976c85c395201e05d6c,CG,exp,neg,100,0,79,2,78,39,red,0,42,25,17,23,Female
