workerId,group,cond,valence,exprating,valrating,arrating,block,trial_order,trial_cond,s1_color,Cong,age,sex,ITI,ISI,response_time_ISI_EXP,response_time_SAM_valence,response_time_SAM_arousal,timing_S1,timing_S2
14488,CG,val_arr,neg,0,27,56,2,65,34,neg,0,21,Male,868,1000,2038,1729,1855,250,1000
14488,CG,exp,neu,100,27,56,2,66,32,neg,1,21,Male,858,1000,2219,1729,1855,250,1000
14488,CG,val_arr,neu,100,100,0,2,67,35,neu,0,21,Male,848,1000,2219,2145,1335,250,1000
14488,CG,exp,neu,8,100,0,2,68,33,neu,0,21,Male,880,1000,2538,2145,1335,250,1000
14488,CG,exp,neg,92,100,0,2,69,34,neg,0,21,Male,898,1000,1972,2145,1335,250,1000
14488,CG,exp,neg,100,100,0,2,70,35,neg,0,21,Male,1084,1000,1384,2145,1335,250,1000
14488,CG,val_arr,neu,100,50,14,2,71,36,neu,0,21,Male,868,1000,1384,3540,3853,250,1000
14488,CG,exp,neu,22,50,14,2,72,36,neu,0,21,Male,1028,1000,3874,3540,3853,250,1000
14488,CG,exp,neg,76,50,14,2,73,37,neg,0,21,Male,1074,1000,1812,3540,3853,250,1000
14488,CG,val_arr,neg,76,13,38,2,74,37,neg,0,21,Male,908,1000,1812,2559,3549,250,1000
14488,CG,val_arr,neu,76,50,25,2,75,38,neu,0,21,Male,1183,1000,1812,2718,3821,250,1000
14488,CG,val_arr,neu,76,50,47,2,76,39,neu,0,21,Male,1152,1000,1812,4100,2361,250,1000
14488,CG,val_arr,neu,76,50,94,2,77,40,neg,1,21,Male,817,1000,1812,595,52386,250,1000
14488,CG,exp,neu,82,50,94,2,78,38,neg,1,21,Male,847,1000,2354,595,52386,250,1000
14488,CG,exp,neg,29,50,94,2,79,39,neg,0,21,Male,1191,1000,2097,595,52386,250,1000
14488,CG,exp,neg,0,50,94,2,80,40,neg,0,21,Male,1054,1000,2067,595,52386,250,1000
14485,UG,val_arr,neu,50,30,57,1,1,1,neu,0,18,Male,1079,1000,NA,6397,6233,250,1000
14485,UG,val_arr,neu,50,77,44,1,2,2,neu,0,18,Male,1059,1000,NA,6098,3770,250,1000
14485,UG,val_arr,neu,50,74,95,1,3,3,neu,0,18,Male,1028,1000,NA,4003,4493,250,1000
14485,UG,exp,neg,73,74,95,1,4,1,neg,0,18,Male,956,1000,18885,4003,4493,250,1000
